
**** SCALARS ****
run,n,repetition,module,name,value
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.radioMedium.propagation,Arrival computation count,13500
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.radioMedium,transmission count,1500
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.radioMedium,signal send count,13500
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.radioMedium,reception computation count,13500
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.radioMedium,interference computation count,42020
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.radioMedium,reception decision computation count,13500
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.radioMedium,listening decision computation count,15020
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.radioMedium,reception cache hit,85.714285714286
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.radioMedium,interference cache hit,66.666666666667
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.radioMedium,noise cache hit,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.radioMedium,snir cache hit,50
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.radioMedium,reception decision cache hit,50
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.radioMedium,reception result cache hit,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].lo[0].lo,rcvdPkFromHl:count,136
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].lo[0].lo,rcvdPkFromHl:sum(packetBytes),73712
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].lo[0].lo,passedUpPk:count,136
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].lo[0].lo,passedUpPk:sum(packetBytes),73712
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].lo[0],packetDropInterfaceDown:count,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].lo[0],packetDropInterfaceDown:sum(packetBytes),0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].lo[0],packetDropNoCarrier:count,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].lo[0],packetDropNoCarrier:sum(packetBytes),0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].agent,dropConfirm:count,149
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].agent,acceptConfirm:count,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].agent,sentRequest:count,150
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.channelAccess.pendingQueue,queueLength:last,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.channelAccess.pendingQueue,queueLength:max,1
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.channelAccess.pendingQueue,queueLength:timeavg,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.channelAccess.pendingQueue,queueBitLength:last,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.channelAccess.pendingQueue,queueBitLength:max,256
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.channelAccess.pendingQueue,queueBitLength:timeavg,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingPackets:count,150
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.channelAccess.pendingQueue,outgoingPacketLengths:sum,38400
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.channelAccess.pendingQueue,incomingPackets:count,150
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.channelAccess.pendingQueue,incomingPacketLengths:sum,38400
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.channelAccess.pendingQueue,droppedPacketsQueueOverflow:count,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.channelAccess.pendingQueue,droppedPacketLengthsQueueOverflow:sum,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.channelAccess.inProgressFrames,queueLength:max,1
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.channelAccess.inProgressFrames,queueLength:timeavg,9.5e-05
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.channelAccess.contention,channelAccessGranted:count,150
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.channelAccess.contention,stateChanged:count,6602
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.channelAccess,channelOwnershipChanged:count,300
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.originatorMacDataService,packetAggregated:count,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.originatorMacDataService,packetFragmented:count,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.recipientMacDataService,packetDeaggregated:count,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.recipientMacDataService,packetDefragmented:count,1350
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.recipientMacDataService,packetDropDuplicateDetected:count,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.recipientMacDataService,packetDropDuplicateDetected:sum(packetBytes),0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.recoveryProcedure,retryLimitReached:count,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,frameSequenceFinished:count,150
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetReceivedFromPeer:count,1350
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetReceivedFromPeer:sum(packetBytes),43200
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetReceivedFromPeerUnicast:count,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetReceivedFromPeerUnicast:sum(packetBytes),0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetReceivedFromPeerMulticast:count,1350
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetReceivedFromPeerMulticast:sum(packetBytes),43200
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetReceivedFromPeerBroadcast:count,1350
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetReceivedFromPeerBroadcast:sum(packetBytes),43200
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetReceivedFromPeerWithRetry:count,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetReceivedFromPeerWithRetry:sum(packetBytes),0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetReceivedFromPeerWithoutRetry:count,1350
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetReceivedFromPeerWithoutRetry:sum(packetBytes),43200
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetSentToPeer:count,150
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetSentToPeer:sum(packetBytes),4800
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetSentToPeerUnicast:count,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetSentToPeerUnicast:sum(packetBytes),0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetSentToPeerMulticast:count,150
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetSentToPeerMulticast:sum(packetBytes),4800
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetSentToPeerBroadcast:count,150
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetSentToPeerBroadcast:sum(packetBytes),4800
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetSentToPeerWithRetry:count,0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetSentToPeerWithRetry:sum(packetBytes),0
Base-0-20250724-20:54:55-92405,10,0,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf,packetSentToPeerWithoutRetry:count,150
