run,type,module,name,attrname,attrvalue,vectime,vecvalue
Base-0-20250724-20:54:55-92405,vector,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,,,0,31
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,interpolationmode,sample-hold,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,recordingmode,vector,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[0].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,title,contention window,,
Base-0-20250724-20:54:55-92405,vector,FakeWireCsmaCaNetwork.host[1].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,,,0,31
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[1].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,interpolationmode,sample-hold,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[1].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,recordingmode,vector,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[1].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,title,contention window,,
Base-0-20250724-20:54:55-92405,vector,FakeWireCsmaCaNetwork.host[2].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,,,0,31
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[2].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,interpolationmode,sample-hold,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[2].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,recordingmode,vector,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[2].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,title,contention window,,
Base-0-20250724-20:54:55-92405,vector,FakeWireCsmaCaNetwork.host[3].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,,,0,31
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[3].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,interpolationmode,sample-hold,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[3].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,recordingmode,vector,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[3].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,title,contention window,,
Base-0-20250724-20:54:55-92405,vector,FakeWireCsmaCaNetwork.host[4].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,,,0,31
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[4].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,interpolationmode,sample-hold,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[4].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,recordingmode,vector,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[4].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,title,contention window,,
Base-0-20250724-20:54:55-92405,vector,FakeWireCsmaCaNetwork.host[5].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,,,0,31
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[5].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,interpolationmode,sample-hold,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[5].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,recordingmode,vector,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[5].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,title,contention window,,
Base-0-20250724-20:54:55-92405,vector,FakeWireCsmaCaNetwork.host[6].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,,,0,31
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[6].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,interpolationmode,sample-hold,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[6].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,recordingmode,vector,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[6].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,title,contention window,,
Base-0-20250724-20:54:55-92405,vector,FakeWireCsmaCaNetwork.host[7].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,,,0,31
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[7].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,interpolationmode,sample-hold,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[7].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,recordingmode,vector,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[7].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,title,contention window,,
Base-0-20250724-20:54:55-92405,vector,FakeWireCsmaCaNetwork.host[8].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,,,0,31
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[8].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,interpolationmode,sample-hold,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[8].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,recordingmode,vector,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[8].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,title,contention window,,
Base-0-20250724-20:54:55-92405,vector,FakeWireCsmaCaNetwork.host[9].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,,,0,31
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[9].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,interpolationmode,sample-hold,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[9].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,recordingmode,vector,,
Base-0-20250724-20:54:55-92405,attr,FakeWireCsmaCaNetwork.host[9].wlan[0].mac.dcf.recoveryProcedure,contentionWindowChanged:vector,title,contention window,,
